Date,Open,High,Low,Close,Adj Close,Volume
2008-01-07,14561.000000,14561.000000,14561.000000,14561.000000,14561.000000,0
2008-01-08,14592.000000,14592.000000,14592.000000,14592.000000,14592.000000,0
2008-01-09,14662.000000,14662.000000,14662.000000,14662.000000,14662.000000,0
2008-01-10,14451.000000,14451.000000,14451.000000,14451.000000,14451.000000,0
2008-01-11,14175.000000,14175.000000,14175.000000,14175.000000,14175.000000,0
2008-01-15,14033.000000,14033.000000,14033.000000,14033.000000,14033.000000,0
2008-01-16,13562.000000,13562.000000,13562.000000,13562.000000,13562.000000,0
2008-01-17,13840.000000,13840.000000,13840.000000,13840.000000,13840.000000,0
2008-01-18,13917.000000,13917.000000,13917.000000,13917.000000,13917.000000,0
2008-01-21,13383.000000,13383.000000,13383.000000,13383.000000,13383.000000,0
2008-01-22,12625.000000,12625.000000,12625.000000,12625.000000,12625.000000,0
2008-01-23,12883.000000,12883.000000,12883.000000,12883.000000,12883.000000,0
2008-01-24,13147.000000,13147.000000,13147.000000,13147.000000,13147.000000,0
2008-01-25,13687.000000,13687.000000,13687.000000,13687.000000,13687.000000,0
2008-01-28,13141.000000,13141.000000,13141.000000,13141.000000,13141.000000,0
2008-01-29,13533.000000,13533.000000,13533.000000,13533.000000,13533.000000,0
2008-01-30,13405.000000,13405.000000,13405.000000,13405.000000,13405.000000,0
2008-01-31,13646.000000,13646.000000,13646.000000,13646.000000,13646.000000,0
2008-02-01,13552.000000,13552.000000,13552.000000,13552.000000,13552.000000,0
2008-02-04,13918.000000,13918.000000,13918.000000,13918.000000,13918.000000,0
2008-02-05,13802.000000,13802.000000,13802.000000,13802.000000,13802.000000,0
2008-02-06,13153.000000,13153.000000,13153.000000,13153.000000,13153.000000,0
2008-02-07,13261.000000,13261.000000,13261.000000,13261.000000,13261.000000,0
2008-02-08,13073.000000,13073.000000,13073.000000,13073.000000,13073.000000,0
2008-02-12,13073.000000,13073.000000,13073.000000,13073.000000,13073.000000,0
2008-02-13,13123.000000,13123.000000,13123.000000,13123.000000,13123.000000,0
2008-02-14,13681.000000,13681.000000,13681.000000,13681.000000,13681.000000,0
2008-02-15,13677.000000,13677.000000,13677.000000,13677.000000,13677.000000,0
2008-02-18,13688.000000,13688.000000,13688.000000,13688.000000,13688.000000,0
2008-02-19,13814.000000,13814.000000,13814.000000,13814.000000,13814.000000,0
2008-02-20,13364.000000,13364.000000,13364.000000,13364.000000,13364.000000,0
2008-02-21,13743.000000,13743.000000,13743.000000,13743.000000,13743.000000,0
2008-02-22,13555.000000,13555.000000,13555.000000,13555.000000,13555.000000,0
2008-02-25,13968.000000,13968.000000,13968.000000,13968.000000,13968.000000,0
2008-02-26,13889.000000,13889.000000,13889.000000,13889.000000,13889.000000,0
2008-02-27,14091.000000,14091.000000,14091.000000,14091.000000,14091.000000,0
2008-02-28,13984.000000,13984.000000,13984.000000,13984.000000,13984.000000,0
2008-02-29,13659.000000,13659.000000,13659.000000,13659.000000,13659.000000,0
2008-03-03,13048.000000,13048.000000,13048.000000,13048.000000,13048.000000,0
2008-03-04,13046.000000,13046.000000,13046.000000,13046.000000,13046.000000,0
2008-03-05,13028.000000,13028.000000,13028.000000,13028.000000,13028.000000,0
2008-03-06,13273.000000,13273.000000,13273.000000,13273.000000,13273.000000,0
2008-03-07,12837.000000,12837.000000,12837.000000,12837.000000,12837.000000,0
2008-03-10,12587.000000,12587.000000,12587.000000,12587.000000,12587.000000,0
2008-03-11,12709.000000,12709.000000,12709.000000,12709.000000,12709.000000,0
2008-03-12,12917.000000,12917.000000,12917.000000,12917.000000,12917.000000,0
2008-03-13,12486.000000,12486.000000,12486.000000,12486.000000,12486.000000,0
2008-03-14,12296.000000,12296.000000,12296.000000,12296.000000,12296.000000,0
2008-03-17,11840.000000,11840.000000,11840.000000,11840.000000,11840.000000,0
2008-03-18,12015.000000,12015.000000,12015.000000,12015.000000,12015.000000,0
2008-03-19,12317.000000,12317.000000,12317.000000,12317.000000,12317.000000,0
2008-03-21,12534.000000,12534.000000,12534.000000,12534.000000,12534.000000,0
2008-03-24,12532.000000,12532.000000,12532.000000,12532.000000,12532.000000,0
2008-03-25,12801.000000,12801.000000,12801.000000,12801.000000,12801.000000,0
2008-03-26,12863.000000,12863.000000,12863.000000,12863.000000,12863.000000,0
2008-03-27,12759.000000,12759.000000,12759.000000,12759.000000,12759.000000,0
2008-03-28,12976.000000,12976.000000,12976.000000,12976.000000,12976.000000,0
2008-03-31,12674.000000,12674.000000,12674.000000,12674.000000,12674.000000,0
2008-04-01,12810.000000,12810.000000,12810.000000,12810.000000,12810.000000,0
2008-04-02,13346.000000,13346.000000,13346.000000,13346.000000,13346.000000,0
2008-04-03,13551.000000,13551.000000,13551.000000,13551.000000,13551.000000,0
2008-04-04,13451.000000,13451.000000,13451.000000,13451.000000,13451.000000,0
2008-04-07,13612.000000,13612.000000,13612.000000,13612.000000,13612.000000,0
2008-04-08,13410.000000,13410.000000,13410.000000,13410.000000,13410.000000,0
2008-04-09,13269.000000,13269.000000,13269.000000,13269.000000,13269.000000,0
2008-04-10,13100.000000,13100.000000,13100.000000,13100.000000,13100.000000,0
2008-04-11,13484.000000,13484.000000,13484.000000,13484.000000,13484.000000,0
2008-04-14,13074.000000,13074.000000,13074.000000,13074.000000,13074.000000,0
2008-04-15,13144.000000,13144.000000,13144.000000,13144.000000,13144.000000,0
2008-04-16,13305.000000,13305.000000,13305.000000,13305.000000,13305.000000,0
2008-04-17,13559.000000,13559.000000,13559.000000,13559.000000,13559.000000,0
2008-04-18,13635.000000,13635.000000,13635.000000,13635.000000,13635.000000,0
2008-04-21,13858.000000,13858.000000,13858.000000,13858.000000,13858.000000,0
2008-04-22,13707.000000,13707.000000,13707.000000,13707.000000,13707.000000,0
2008-04-23,13741.000000,13741.000000,13741.000000,13741.000000,13741.000000,0
2008-04-24,13702.000000,13702.000000,13702.000000,13702.000000,13702.000000,0
2008-04-25,14024.000000,14024.000000,14024.000000,14024.000000,14024.000000,0
2008-04-28,14057.000000,14057.000000,14057.000000,14057.000000,14057.000000,0
2008-04-30,14010.000000,14010.000000,14010.000000,14010.000000,14010.000000,0
2008-05-01,13930.000000,13930.000000,13930.000000,13930.000000,13930.000000,0
2008-05-02,14215.000000,14215.000000,14215.000000,14215.000000,14215.000000,0
